model,feature_set,target,prec@0.4,signals@0.4,prec@0.5,signals@0.5,prec@0.7,signals@0.7,class_1_precision,prec@0.6,signals@0.6,class_1_recall,class_1_f1,f1_macro,prec@0.8,signals@0.8,accuracy
LightGBM,D1_core_momentum,mc_rr10m,0.5381,38445,0.6758,7212,0.8815,692.0,0.4699,0.7855,1893,0.5015,0.4852,0.3923062312844747,0.9495,198,0.4487684053884712
XGBoost,D1_core_momentum,mc_rr10m,0.538,38762,0.6564,8016,0.8759,693.0,0.4707,0.7753,2043,0.4988,0.4843,0.3923843027428035,0.9585,193,0.4512306156015037
XGBoost,D_all,mc_rr10m,0.5572,38658,0.6848,9816,0.8687,1782.0,0.4883,0.782,3798,0.4755,0.4818,0.4018591670743408,0.9329,924,0.4633997102130325
LightGBM,D_clean,mc_rr10m,0.5556,38479,0.6833,9552,0.8652,1632.0,0.4882,0.7951,3558,0.467,0.4774,0.4006522285355098,0.9379,869,0.4583382283834586
LightGBM,D_all,mc_rr10m,0.5558,38387,0.696,9445,0.8651,1660.0,0.4876,0.8077,3485,0.469,0.4781,0.4011306258339608,0.9485,873,0.4598997493734336
XGBoost,D_clean_ext,mc_rr10m,0.5567,38396,0.6804,9870,0.8637,1820.0,0.4885,0.7832,3792,0.4707,0.4794,0.4021368466810641,0.9391,919,0.4616864426691729
XGBoost,D_clean,mc_rr10m,0.5562,38727,0.6797,10027,0.862,1790.0,0.4879,0.7857,3751,0.4727,0.4802,0.4012120857946189,0.9389,900,0.4605507910401002
LightGBM,D_clean_ext,mc_rr10m,0.5569,38168,0.6944,9373,0.8595,1694.0,0.4895,0.7988,3554,0.4659,0.4774,0.4012996992048313,0.9404,822,0.459547305764411
XGBoost,D3_liquidity_context,mc_rr10m,0.5288,38696,0.6345,8066,0.8517,762.0,0.4658,0.7143,2226,0.5067,0.4854,0.3904121073187395,0.9305,187,0.4486998746867168
XGBoost,B_enriched,mc_rr10m,0.5547,37309,0.6754,9824,0.8506,1633.0,0.4841,0.7808,3531,0.4754,0.4797,0.3994612068529053,0.9265,871,0.4608249138471177
LightGBM,F_price_vol_time,mc_rr10m,0.549,36249,0.6754,8873,0.8468,1717.0,0.4789,0.7633,3502,0.4644,0.4715,0.3954096564761571,0.937,746,0.4536683505639097
LightGBM,B_enriched,mc_rr10m,0.5548,36617,0.699,8916,0.8462,1580.0,0.4853,0.7962,3430,0.4684,0.4767,0.4006923282133481,0.9214,802,0.4585193452380952
LightGBM,D3_liquidity_context,mc_rr10m,0.5349,37432,0.6476,7417,0.8443,822.0,0.4663,0.7406,1947,0.5029,0.4839,0.3890134844318039,0.8949,257,0.4438048245614035
XGBoost,F_price_vol_time,mc_rr10m,0.5498,36499,0.6684,9299,0.8259,1838.0,0.4805,0.7481,3739,0.4683,0.4743,0.3964821778224818,0.9326,786,0.4561599310776942
LightGBM,C_price_action,mc_rr10m,0.5384,37799,0.6516,8869,0.8123,1396.0,0.4735,0.7389,3148,0.4698,0.4717,0.3900378149017334,0.9165,623,0.4465215773809524
LightGBM,D2_breakout_structure,mc_rr10m,0.5358,36961,0.6384,8913,0.7894,1605.0,0.4699,0.7117,3462,0.4714,0.4706,0.3865893238716151,0.8949,723,0.4414405153508772
XGBoost,D2_breakout_structure,mc_rr10m,0.5404,36356,0.6372,8850,0.7769,1739.0,0.4723,0.7115,3470,0.4752,0.4737,0.3892686408273882,0.8473,825,0.4460418624686716
XGBoost,C_price_action,mc_rr10m,0.5366,38505,0.643,9227,0.7627,1593.0,0.4729,0.7045,3367,0.4777,0.4753,0.3903345048526455,0.844,705,0.4480096726190476
LightGBM,D_all,mc_1p5,0.3882,42060,0.4905,12882,0.6871,1668.0,0.368,0.599,4534,0.3639,0.3659,0.4934713631618121,0.7795,567,0.5420750026395861
XGBoost,D1_core_momentum,mc_1p5,0.3808,42235,0.4811,12089,0.6864,928.0,0.3563,0.5799,3528,0.375,0.3654,0.4908311672703669,0.8071,197,0.5423149650134859
XGBoost,D_clean,mc_1p5,0.3898,41752,0.4929,12831,0.6864,1671.0,0.3689,0.5855,4550,0.3649,0.3669,0.4939170856586272,0.7641,602,0.5427133025541595
XGBoost,D_all,mc_1p5,0.3897,41850,0.4926,13060,0.6852,1674.0,0.3701,0.5929,4569,0.365,0.3676,0.4946615419118411,0.7607,610,0.5433707994586449
LightGBM,D1_core_momentum,mc_1p5,0.3741,43203,0.4817,12132,0.6833,900.0,0.3529,0.5837,3454,0.3765,0.3643,0.4898954758976512,0.7407,216,0.5408271982953073
LightGBM,B_enriched,mc_1p5,0.3849,41658,0.4897,12747,0.6813,1704.0,0.3657,0.5844,4576,0.3639,0.3648,0.492836895042128,0.7337,627,0.5417342560686484
XGBoost,B_enriched,mc_1p5,0.389,41423,0.4901,13070,0.6802,1723.0,0.3681,0.5868,4649,0.3641,0.3661,0.4939203767880724,0.7673,636,0.5428476814835433
LightGBM,D3_liquidity_context,mc_1p5,0.3706,42569,0.4728,12091,0.6779,1071.0,0.348,0.577,3726,0.3733,0.3602,0.4872941435897049,0.7865,281,0.5395649962085944
XGBoost,D3_liquidity_context,mc_1p5,0.3704,42720,0.4739,12662,0.6773,1097.0,0.3473,0.5788,3955,0.3786,0.3623,0.4881714151449186,0.8144,264,0.5397665646026703
XGBoost,C_price_action,mc_1p5,0.3726,40827,0.4684,12264,0.6768,1287.0,0.3507,0.5644,3857,0.3514,0.351,0.4827322157405314,0.7716,451,0.5346649645335612
XGBoost,D_clean_ext,mc_1p5,0.39,41509,0.4933,12920,0.6759,1700.0,0.3706,0.5891,4568,0.3634,0.367,0.4945849692397904,0.7652,609,0.5436395573174126
LightGBM,D_clean_ext,mc_1p5,0.3887,41726,0.4889,12832,0.6757,1656.0,0.3686,0.5928,4521,0.3636,0.3661,0.4934838359883089,0.7652,575,0.5422429763013159
LightGBM,D_clean,mc_1p5,0.3871,42032,0.4902,12854,0.6741,1669.0,0.3684,0.5884,4546,0.3654,0.3669,0.4941736418695202,0.7554,601,0.5430060566503172
LightGBM,D2_breakout_structure,mc_1p5,0.3735,39877,0.4667,11575,0.6726,1289.0,0.3492,0.5736,3745,0.342,0.3455,0.4807342064553979,0.7922,409,0.5336379255732702
LightGBM,C_price_action,mc_1p5,0.372,41078,0.4637,12303,0.6708,1282.0,0.3494,0.556,3887,0.3498,0.3496,0.4826155788905614,0.7555,454,0.5350105103519768
XGBoost,D2_breakout_structure,mc_1p5,0.3715,39845,0.4708,11789,0.6699,1339.0,0.3503,0.5667,3912,0.3449,0.3476,0.4815921520628541,0.7773,458,0.5344969908718313
XGBoost,A_base,mc_rr10m,0.5094,39530,0.5928,6667,0.6624,311.0,0.4518,0.5816,1410,0.5157,0.4816,0.3794109819448684,0.931,58,0.436594415726817
XGBoost,A_base,mc_1p5,0.3637,41010,0.4532,12170,0.6545,819.0,0.3394,0.55,3538,0.359,0.3489,0.4785622332867752,0.7866,164,0.5321357611126576
LightGBM,A_base,mc_1p5,0.3655,40082,0.4583,11508,0.6497,765.0,0.3398,0.553,3161,0.3531,0.3463,0.4779889385813868,0.6977,172,0.5318142115316319
XGBoost,D1_core_momentum,mc_2p0,0.3313,38796,0.4322,12188,0.6448,1157.0,0.3091,0.5414,3910,0.3691,0.3364,0.4878584092525803,0.777,278,0.5802002246047819
LightGBM,D1_core_momentum,mc_2p0,0.3298,39302,0.4254,12253,0.6427,1139.0,0.3048,0.5281,4003,0.3662,0.3327,0.4856238393087853,0.7639,288,0.5773206761179847
XGBoost,F_price_vol_time,mc_1p5,0.3747,42418,0.461,12201,0.6406,1152.0,0.3531,0.5486,3706,0.3593,0.3562,0.4871839757860234,0.7742,403,0.5388115143545492
XGBoost,D_clean,mc_2p0,0.3439,37852,0.4392,12786,0.6384,1817.0,0.3255,0.5301,4816,0.3558,0.34,0.4914393809544863,0.7233,665,0.5796771066296804
LightGBM,F_price_vol_time,mc_1p5,0.3747,42866,0.4567,12499,0.6368,1170.0,0.351,0.5442,3763,0.3598,0.3553,0.4860042931175347,0.7552,388,0.5371125807473388
XGBoost,D_clean_ext,mc_2p0,0.347,37335,0.4419,12753,0.6321,1862.0,0.3271,0.5333,4915,0.3547,0.3403,0.4922956586199263,0.7294,669,0.5813280477621109
XGBoost,D_all,mc_2p0,0.3452,37853,0.4387,12954,0.6314,1845.0,0.3285,0.5377,4858,0.3562,0.3418,0.4927167059327996,0.7254,670,0.581227263565073
LightGBM,D2_breakout_structure,mc_2p0,0.3237,36467,0.417,11231,0.6286,1384.0,0.3018,0.5107,3987,0.3316,0.316,0.4756336615168372,0.7461,453,0.5687492201222848
LightGBM,B_enriched,mc_2p0,0.3399,37656,0.4388,12906,0.6274,1868.0,0.322,0.5288,4904,0.3537,0.3371,0.4891711159744957,0.7372,662,0.5774886497797146
XGBoost,D2_breakout_structure,mc_2p0,0.3258,36416,0.4162,11510,0.627,1413.0,0.3026,0.5068,4035,0.3338,0.3174,0.4766212339312289,0.7227,512,0.5697426643502299
LightGBM,D_clean,mc_2p0,0.3417,37931,0.4354,13001,0.6235,1859.0,0.3252,0.5341,4915,0.3566,0.3402,0.4911729637798459,0.7334,694,0.5793939510284787
LightGBM,D3_liquidity_context,mc_2p0,0.325,38559,0.4267,11924,0.6199,1268.0,0.3,0.5226,4189,0.3638,0.3289,0.4840723519923697,0.7781,329,0.5776134302141425
LightGBM,A_base,mc_2p0,0.3167,36545,0.4007,11569,0.6189,963.0,0.2925,0.5033,3499,0.3412,0.3149,0.4732900260743902,0.7315,216,0.5686580344202029
LightGBM,C_price_action,mc_2p0,0.323,37811,0.4123,11932,0.6187,1403.0,0.3031,0.5059,4082,0.3417,0.3213,0.4779032219154558,0.7363,474,0.5705489379265332
XGBoost,B_enriched,mc_2p0,0.3399,37349,0.4378,12952,0.6165,1966.0,0.3243,0.5288,5025,0.3544,0.3386,0.4912571770634846,0.7083,713,0.5795859209275985
LightGBM,D_all,mc_2p0,0.3424,38342,0.4402,13033,0.6163,1866.0,0.3232,0.5368,4870,0.3545,0.3382,0.4895735939225045,0.7291,657,0.5774982482746706
LightGBM,D_clean_ext,mc_2p0,0.3417,38306,0.4358,13117,0.6145,1904.0,0.3227,0.5326,5038,0.3564,0.3387,0.4902862497255227,0.7251,673,0.5785444842248736
XGBoost,A_base,mc_2p0,0.3174,36834,0.4089,11600,0.6083,960.0,0.29,0.5076,3623,0.3462,0.3156,0.472655318784724,0.75,224,0.567520612767918
LightGBM,A_base,mc_rr10m,0.5148,36799,0.5771,6494,0.6076,395.0,0.4546,0.551,1481,0.5044,0.4782,0.3800040495358295,0.7571,70,0.434812617481203
XGBoost,C_price_action,mc_2p0,0.3237,37500,0.4131,12162,0.6072,1446.0,0.3032,0.4917,4230,0.3428,0.3218,0.4780506635740504,0.7401,481,0.5713552115028363
XGBoost,D3_liquidity_context,mc_2p0,0.3253,39252,0.4223,12671,0.6,1500.0,0.3008,0.5215,4566,0.3719,0.3326,0.4853383703924542,0.7657,367,0.5783237188408857
LightGBM,F_price_vol_time,mc_2p0,0.3254,39546,0.4102,11865,0.5939,1288.0,0.3045,0.4952,3978,0.3522,0.3266,0.4830691644822735,0.7143,441,0.5741051803077277
XGBoost,F_price_vol_time,mc_2p0,0.328,38761,0.4107,11946,0.5725,1324.0,0.3074,0.4927,3976,0.3509,0.3277,0.4838397860042802,0.7018,456,0.5760632732787498
XGBoost,A_base,bin_fr5m_2p5,0.2867,38714,0.3629,14350,,2.17,0.2013,0.5023,3024,116146.0,0.2363,0.5599878420181693,23.0,833584,0.6699845464231209
XGBoost,A_base,bin_fr5m_2p0,0.3252,38010,0.4087,12200,,2.18,0.2286,0.5616,2427,131008.0,0.2672,0.5590031908972144,23.0,833584,0.6398308745188754
XGBoost,A_base,bin_fr5m_1p5,0.3804,36623,0.473,9961,,2.16,0.2686,0.609,1693,146952.0,0.3125,0.5632430665920334,23.0,833584,0.6155898755075204
XGBoost,A_base,bin_fr5m_1p0,0.4388,32414,0.5496,7291,,2.25,0.3192,0.6679,1060,162537.0,0.3654,0.5644512143490404,23.0,833584,0.5941228415384467
XGBoost,A_base,bin_mfr10m_2p5,0.6508,57405,0.7181,29303,,2.19,0.5233,0.7943,10879,134518.0,0.5841,0.6560855104178545,23.0,833236,0.6623999539079792
XGBoost,A_base,bin_mfr10m_2p0,0.7043,60738,0.7688,29842,,2.22,0.5849,0.8395,10417,141669.0,0.6422,0.6530377109990954,23.0,833236,0.6534552211216685
XGBoost,A_base,bin_mfr10m_1p5,0.7689,65742,0.8209,32149,,2.21,0.6589,0.8721,10736,151568.0,0.7118,0.6456515832386946,23.0,833236,0.6485147326422731
XGBoost,A_base,bin_mfr10m_1p0,0.8293,70563,0.87,33939,,2.22,0.7399,0.9086,10794,159907.0,0.7845,0.6286834837035126,23.0,833236,0.6472568045746331
XGBoost,A_base,bin_break_hod,0.3633,26694,0.4218,21170,,2.3,0.2718,0.4994,15679,39481.0,0.3155,0.6976334199379474,23.0,833584,0.8843141395429197
XGBoost,A_base,bin_first_touch_10m_2p5,0.5029,43492,0.6039,8359,,2.14,0.4053,0.7312,956,149158.0,0.4416,0.5872505091063467,23.0,803695,0.5946867502264876
XGBoost,A_base,bin_first_touch_10m_2p0,0.5437,35596,0.6371,6635,,2.13,0.4354,0.7399,815,158336.0,0.4705,0.5785684456943444,23.0,797654,0.5804879027404406
XGBoost,A_base,bin_first_touch_10m_1p5,0.5813,31179,0.6672,6067,,4.1,0.4647,0.7739,796,167812.0,0.5043,0.5749337718020926,23.0,785381,0.5751543429980236
XGBoost,A_base,bin_first_touch_10m_1p0,0.6231,28607,0.7066,6057,,2.16,0.4934,0.7787,845,167922.0,0.5415,0.5769558197142135,23.0,760476,0.5770823140739338
XGBoost,A_base,bin_tb10m_tp1p5_sl0p5,0.4469,26867,0.5521,7408,,2.1,0.3047,0.6624,1555,153761.0,0.3581,0.5638585611259367,23.0,759715,0.6001664042464678
XGBoost,A_base,bin_tb10m_tp2p0_sl0p7,0.4144,25149,0.5255,5880,,2.2,0.2853,0.6787,1049,158895.0,0.3269,0.5474128363196181,23.0,779298,0.5839882953874586
XGBoost,A_base,bin_tb10m_tp2p5_sl1p0,0.401,25893,0.5126,5318,,2.11,0.2824,0.6428,893,158682.0,0.3172,0.5389044855840919,23.0,792166,0.5693796335575622
XGBoost,A_base,bin_tb10m_tp4p0_sl2p0,0.3294,41392,0.4151,9414,,2.16,0.2524,0.5574,1410,129699.0,0.2833,0.554992353051226,23.0,806939,0.6142039116531568
XGBoost,A_base,bin_tb10m_tp5p0_sl2p5,0.2954,43806,0.3585,13870,,2.28,0.228,0.4787,2484,112666.0,0.2579,0.5643330541752516,23.0,809896,0.6560925490506017
XGBoost,A_base,bin_tb10m_tp6p0_sl3p0,0.2725,43896,0.3282,18640,,2.24,0.2087,0.4452,3475,98972.0,0.2369,0.5691234118681276,23.0,811395,0.687346846202772
XGBoost,A_base,bin_fr10m_1p0,0.4911,27891,0.5979,6399,,2.18,0.3585,0.736,1341,167836.0,0.4069,0.5645824997799689,23.0,817271,0.5844885651629073
XGBoost,A_base,bin_fr10m_1p5,0.4338,30463,0.548,7900,,2.3,0.3098,0.7041,1639,158757.0,0.3565,0.5621550480126462,23.0,817271,0.5972695410401002
XGBoost,A_base,bin_mae10m_lt_0p5,0.4217,55736,0.5322,26139,,2.29,0.3055,0.7339,8761,119456.0,0.355,0.6121504231143351,23.0,817271,0.661845042293233
XGBoost,A_base,bin_mae10m_lt_1p0,0.5779,65299,0.684,33430,,2.21,0.4531,0.8289,12297,129135.0,0.5077,0.6548035799961821,23.0,817271,0.6656338110902256
XGBoost,A_base,bin_opportunity_clean_10m_1p5_0p5,0.2673,44142,0.3554,9434,,2.25,0.1939,0.4796,1076,138151.0,0.2212,0.5167315112555088,23.0,817271,0.5855507910401002
XGBoost,A_base,bin_opportunity_clean_10m_1p0_0p3,0.2446,49056,0.315,15177,,2.24,0.1745,0.4088,2035,127688.0,0.2017,0.5185995300011836,23.0,817271,0.6062079025689223
XGBoost,A_base,bin_rr10m_ge_2,0.5332,27805,0.6027,5027,,2.21,0.3987,0.6963,800,178135.0,0.446,0.5579608135279408,23.0,817271,0.5652265429197995
XGBoost,A_base,bin_rr10m_ge_3,0.4619,28245,0.5353,5087,,2.22,0.3321,0.6172,687,174356.0,0.3785,0.54966577127543,23.0,817271,0.568437695802005
XGBoost,A_base,bin_follow_through_hod_10m_0p5,0.4264,30970,0.4908,24077,,2.28,0.3169,0.5709,17541,47637.0,0.3703,0.7164873197383133,23.0,817271,0.8664826127819549
XGBoost,A_base,bin_follow_through_hod_10m_1p0,0.4112,31269,0.472,24366,,2.27,0.3056,0.5511,17662,48008.0,0.3565,0.7090618941848323,23.0,817271,0.8628406954887218
XGBoost,A_base,bin_mfr10m_1atr,0.7487,32712,0.8218,7743,,2.28,0.6176,0.8896,1304,180697.0,0.6694,0.5726072374960836,23.0,832681,0.5762103574019535
XGBoost,A_base,bin_mfr10m_1p5atr,0.6445,30353,0.7357,7218,,2.23,0.4898,0.8419,1309,170523.0,0.5493,0.5842578513622463,23.0,832681,0.5871692746743794
XGBoost,B_enriched,bin_fr5m_2p5,0.3069,40488,0.3819,16209,,3.44,0.2123,0.5323,4077,109980.0,0.2536,0.5771848913181684,53.0,833584,0.6859708397723236
XGBoost,B_enriched,bin_fr5m_2p0,0.3466,40441,0.4428,13643,,5.54,0.2404,0.5998,3171,124559.0,0.286,0.5779487976465305,53.0,833584,0.6588310952842594
XGBoost,B_enriched,bin_fr5m_1p5,0.4014,38634,0.5114,10746,,3.44,0.2785,0.66,2512,140666.0,0.3274,0.5782886428069365,53.0,833584,0.6312210245433516
XGBoost,B_enriched,bin_fr5m_1p0,0.469,33572,0.5876,8132,,3.43,0.3274,0.7192,1916,156752.0,0.3793,0.57814748371616,53.0,833584,0.607623124694048
XGBoost,B_enriched,bin_mfr10m_2p5,0.6821,60762,0.7593,34009,,3.44,0.5395,0.8429,14892,131634.0,0.6077,0.6785210803878616,53.0,833236,0.6842216450050173
XGBoost,B_enriched,bin_mfr10m_2p0,0.731,64282,0.7996,34846,,3.4,0.5979,0.8775,14238,139735.0,0.6598,0.6721169909072691,53.0,833236,0.6723865584144345
XGBoost,B_enriched,bin_mfr10m_1p5,0.785,69597,0.8448,37391,,3.42,0.6704,0.9021,15384,149317.0,0.7262,0.6640561888394102,53.0,833236,0.6673116348743753
XGBoost,B_enriched,bin_mfr10m_1p0,0.8419,74051,0.886,39552,,3.41,0.7495,0.9331,15869,157062.0,0.7946,0.6435650562880721,53.0,833236,0.6624959789513105
XGBoost,B_enriched,bin_break_hod,0.4259,24799,0.4761,21077,,3.66,0.3455,0.5429,16665,32614.0,0.385,0.7454155181900033,53.0,833584,0.9105468262576428
XGBoost,B_enriched,bin_first_touch_10m_2p5,0.5264,47562,0.6466,10040,,3.26,0.4141,0.7828,2067,145703.0,0.4593,0.605922275545979,53.0,803695,0.6135175764333429
XGBoost,B_enriched,bin_first_touch_10m_2p0,0.5718,37629,0.6869,7752,,3.36,0.4442,0.8103,1824,154110.0,0.4857,0.5950320490975123,53.0,797654,0.5972495285479276
XGBoost,B_enriched,bin_first_touch_10m_1p5,0.6129,31667,0.7105,7510,,3.29,0.4733,0.814,1989,162221.0,0.5174,0.5889093972525572,53.0,785381,0.5892744350944396
XGBoost,B_enriched,bin_first_touch_10m_1p0,0.6431,29576,0.7332,7417,,3.22,0.5017,0.8455,1735,162131.0,0.5544,0.5892546129791861,53.0,760476,0.5895185939217945
XGBoost,B_enriched,bin_tb10m_tp1p5_sl0p5,0.4685,26544,0.5723,8066,,5.17,0.3122,0.6781,2283,148234.0,0.3693,0.5746031148814386,53.0,759715,0.612509807845223
XGBoost,B_enriched,bin_tb10m_tp2p0_sl0p7,0.4389,25843,0.5616,6983,,3.3,0.2924,0.689,1852,152909.0,0.3398,0.5608849853907778,53.0,779298,0.5982597089247671
XGBoost,B_enriched,bin_tb10m_tp2p5_sl1p0,0.4258,28015,0.5551,6729,,3.38,0.2893,0.6865,1662,153112.0,0.3296,0.5531895206712514,53.0,792166,0.58532816192958
XGBoost,B_enriched,bin_tb10m_tp4p0_sl2p0,0.358,44742,0.477,10915,,3.38,0.265,0.6608,2282,124804.0,0.3033,0.5762611936877082,53.0,806939,0.6358047643836295
XGBoost,B_enriched,bin_tb10m_tp5p0_sl2p5,0.3287,46609,0.4115,16995,,3.38,0.2463,0.5954,3539,106688.0,0.2841,0.5901199195104858,53.0,809896,0.678404892217107
XGBoost,B_enriched,bin_tb10m_tp6p0_sl3p0,0.3075,44393,0.3691,22280,,3.45,0.2312,0.5263,5529,90690.0,0.2677,0.5993344571839658,53.0,811395,0.7163579349074791
XGBoost,B_enriched,bin_fr10m_1p0,0.5228,31412,0.6356,9556,,3.4,0.3726,0.7408,2994,158102.0,0.4246,0.5812764702230533,53.0,817271,0.6014792841478697
XGBoost,B_enriched,bin_fr10m_1p5,0.4663,33416,0.5978,10050,,3.29,0.3241,0.7137,3178,147904.0,0.3755,0.5804423457330665,53.0,817271,0.6159735275689223
